district_name,state_name
Kasaragod,Kerala
Kathua,Jammu and Kashmir
Katihar,Bihar
Katni,Madhya Pradesh
Kaushambi,Uttar Pradesh
Kawardha,Chhattisgarh
Kendrapada,Orissa
Keonjhar,Orissa
Khagaria,Bihar
Khammam,Telangana
Khandwa,Madhya Pradesh
Kheda at Nadiad,Gujarat
Khowai Tripura,Tripura
Khurda,Orissa
Kinnaur,Himachal Pradesh
Kishanganj,Bihar
Kishtwar,Jammu and Kashmir
Koderma,Jharkhand
Kokrajhar,Assam
Kolhapur,Maharashtra
Kollam,Kerala
Kondagaon,Chhattisgarh
Koraput,Orissa
Korba,Chhattisgarh
Koriya,Chhattisgarh
Kota,Rajasthan
Kottayam,Kerala
Kozhikode,Kerala
Krishna,Andhra Pradesh
Krishnagiri,Tamil Nadu
Kulgam,Jammu and Kashmir
Kullu,Himachal Pradesh
Kupwara,Jammu and Kashmir
Kurnool,Andhra Pradesh
Kurukshetra,Haryana
Kushinagar,Uttar Pradesh
Lakhimpur,Assam
Lakhimpur,Uttar Pradesh
Lakhisarai,Bihar
Lakshadweep,Kerala
Lalitpur,Uttar Pradesh
Latehar,Jharkhand
Latur,Maharashtra
Leh,Jammu and Kashmir
Lohardaga,Jharkhand
Lucknow,Uttar Pradesh
Ludhiana,Punjab
Lunglei,Mizoram
MANDYA,Karnataka
MORBI,Gujarat
MYSURU,Karnataka
Madhepura,Bihar
Madhubani,Bihar
Madurai,Tamil Nadu
Mah State Cooperative Appellat,Maharashtra
Mahabubnagar,Telangana
Maharajganj,Uttar Pradesh
Maharashtra Industrial and Lab,Maharashtra
Maharashtra-Family Courts,Maharashtra
Maharashtra-School Tribunals,Maharashtra
Mahasamund,Chhattisgarh
Mahesana,Gujarat
Mahisagar at Lunawada,Gujarat
Mahoba,Uttar Pradesh
Mainpuri,Uttar Pradesh
Malappuram,Kerala
Malda,West Bengal
Malkangiri,Orissa
Mandi,Himachal Pradesh
Mandla,Madhya Pradesh
Mandleshwar,Madhya Pradesh
Mandsaur,Madhya Pradesh
Mangan,Sikkim
Mansa,Punjab
Mathura,Uttar Pradesh
Mau,Uttar Pradesh
Mayurbhanj,Orissa
Medak,Telangana
Meerut,Uttar Pradesh
Merta (Nagaur),Rajasthan
Mirzapur,Uttar Pradesh
Moga,Punjab
Mohali,Punjab
Moradabad,Uttar Pradesh
Morena,Madhya Pradesh
Morigaon,Assam
Motihari,Bihar
Mumbai CMM Courts,Maharashtra
Mumbai City Civil Court,Maharashtra
Mumbai Motor Accident Claims T,Maharashtra
Mumbai Small Causes Court,Maharashtra
Mungeli,Chhattisgarh
Munger,Bihar
Murshidabad,West Bengal
Muzaffarnagar,Uttar Pradesh
Muzaffarpur,Bihar
Nabarangpur,Orissa
Nadia,West Bengal
Nagaon,Assam
Nagapattinam,Tamil Nadu
Nagpur,Maharashtra
Nainital,Uttarakhand
Nalanda,Bihar
Nalbari,Assam
Nalgonda,Telangana
Namakkal,Tamil Nadu
Namchi,Sikkim
Nanded,Maharashtra
Nandurbar,Maharashtra
Narmada,Gujarat
Narnaul,Haryana
Narsinghpur,Madhya Pradesh
Nashik,Maharashtra
Navsari,Gujarat
Nawada,Bihar
Nayagarh,Orissa
Neemuch,Madhya Pradesh
Nellore,Andhra Pradesh
New Delhi,Delhi
Nizamabad,Telangana
North,Delhi
North  Twenty Four Parganas,West Bengal
North Dinajpur,West Bengal
North East,Delhi
North Goa,Goa
North Tripura,Tripura
North West,Delhi
Nuapada,Orissa
Nuh,Haryana
Osmanabad,Maharashtra
Pakur,Jharkhand
Palakkad,Kerala
Pali,Rajasthan
Palwal,Haryana
Panchkula,Haryana
Panchmahal at Godhra,Gujarat
Panipat,Haryana
Panna,Madhya Pradesh
Parbhani,Maharashtra
Paschim Bardhaman,West Bengal
Paschim Medinpur,West Bengal
Patan,Gujarat
Pathanamthitta,Kerala
Pathankot,Punjab
Patiala,Punjab
Patna,Bihar
Pauri Garhwal,Uttarakhand
Perambalur,Tamil Nadu
Pilibhit,Uttar Pradesh
Pithoragarh,Uttarakhand
Poonch,Jammu and Kashmir
Porbandar,Gujarat
Prakasham,Andhra Pradesh
Pratapgarh,Rajasthan
Pratapgarh,Uttar Pradesh
Puducherry,Tamil Nadu
Pudukkottai,Tamil Nadu
Pulwama,Jammu and Kashmir
Pune,Maharashtra
Purba Bardhaman,West Bengal
Purba Medinipur,West Bengal
Puri,Orissa
Purnea,Bihar
Purulia,West Bengal
RAICHUR,Karnataka
RAJKOT,Gujarat
RAMANAGARAM,Karnataka
RAMGARH,Jharkhand
Raebareli,Uttar Pradesh
Raigad,Maharashtra
Raigarh,Chhattisgarh
Raipur,Chhattisgarh
Raisen,Madhya Pradesh
Rajgarh,Madhya Pradesh
Rajnandgaon,Chhattisgarh
Rajouri,Jammu and Kashmir
Rajsamand,Rajasthan
Ramanathapuram,Tamil Nadu
Ramban,Jammu and Kashmir
Rampur,Uttar Pradesh
Ranchi,Jharkhand
Rangareddy,Telangana
Ratlam,Madhya Pradesh
Ratnagiri,Maharashtra
Rayagada,Orissa
Reasi,Jammu and Kashmir
Rewa,Madhya Pradesh
Rewari,Haryana
Ri Bhoi,Meghalaya
Rohtak,Haryana
Rohtas Sasaram,Bihar
Rudraprayag,Uttarakhand
Rupnagar,Punjab
SBS Nagar,Punjab
SHIVAMOGGA,Karnataka
SURAT,Gujarat
Sabarkantha at Himmatnagar,Gujarat
Sagar,Madhya Pradesh
Saharanpur,Uttar Pradesh
Saharsa,Bihar
Sahibganj,Jharkhand
Salem,Tamil Nadu
Samastipur,Bihar
Samba,Jammu and Kashmir
Sambalpur,Orissa
Sambhal at Chandausi,Uttar Pradesh
Sangli,Maharashtra
Sangrur,Punjab
Santkabir Nagar,Uttar Pradesh
Saran at Chapra,Bihar
Satara,Maharashtra
Satna,Madhya Pradesh
Sawai Madhopur,Rajasthan
Sehore,Madhya Pradesh
Senapati,Manipur
Seoni,Madhya Pradesh
Sepahijala Tripura,Tripura
Seraikella,Jharkhand
Shahdara,Delhi
Shahdol,Madhya Pradesh
Shahjahanpur,Uttar Pradesh
Shajapur,Madhya Pradesh
Shamli,Uttar Pradesh
Sheikhpura,Bihar
Sheohar,Bihar
Sheopur,Madhya Pradesh
Shimla,Himachal Pradesh
Shivpuri,Madhya Pradesh
Shopian,Jammu and Kashmir
Shravasti,Uttar Pradesh
Siddharthnagar,Uttar Pradesh
Sidhi,Madhya Pradesh
Sikar,Rajasthan
Silvassa,DNH at Silvasa
Simdega,Jharkhand
Sindhudurg,Maharashtra
Singrauli,Madhya Pradesh
Sirmaur,Himachal Pradesh
Sirohi,Rajasthan
Sirsa,Haryana
Sitamarhi,Bihar
Sitapur,Uttar Pradesh
Sivagangai,Tamil Nadu
Sivasagar,Assam
Siwan,Bihar
Solan,Himachal Pradesh
Solapur,Maharashtra
Sonbhadra,Uttar Pradesh
Sonepat,Haryana
Sonepur,Orissa
Sonitpur,Assam
South,Delhi
South Dinajpur,West Bengal
South East,Delhi
South Goa,Goa
South Twenty Four Parganas,West Bengal
South West,Delhi
SouthTripura,Tripura
Sri Muktsar Sahib,Punjab
Srikakulam,Andhra Pradesh
Srinagar,Jammu and Kashmir
Sultanpur,Uttar Pradesh
Sundargarh,Orissa
Supaul,Bihar
Surajpur,Chhattisgarh
Surendranagar,Gujarat
Surguja,Chhattisgarh
TUMAKURU,Karnataka
Tamenglong,Manipur
Tapi,Gujarat
Tarn Taran,Punjab
Tehri Garhwal,Uttarakhand
Thane,Maharashtra
Thanjavur,Tamil Nadu
The Nilgiris,Tamil Nadu
Theni,Tamil Nadu
Thiruvananthapuram,Kerala
Thoothukudi,Tamil Nadu
Thoubal,Manipur
Thrissur,Kerala
Tikamgarh,Madhya Pradesh
Tinsukia,Assam
Tiruchirappalli,Tamil Nadu
Tirunelveli,Tamil Nadu
Tiruppur,Tamil Nadu
Tiruvallur,Tamil Nadu
Tiruvannamalai,Tamil Nadu
Tiruvarur,Tamil Nadu
Tonk,Rajasthan
UDUPI,Karnataka
UTTARA KANNADA,Karnataka
Udaipur,Rajasthan
Udalguri,Assam
Udham Singh Nagar,Uttarakhand
Udhampur,Jammu and Kashmir
Ujjain,Madhya Pradesh
Umaria,Madhya Pradesh
Una,Himachal Pradesh
Unakoti  Tripura,Tripura
Unnao,Uttar Pradesh
Uttarkashi,Uttarakhand
VIJAYAPURA,Karnataka
Vadodara,Gujarat
Vaishali,Bihar
Valsad,Gujarat
Varanasi,Uttar Pradesh
Vellore,Tamil Nadu
Vidisha,Madhya Pradesh
Viluppuram,Tamil Nadu
Virudhunagar,Tamil Nadu
Visakapatnam,Andhra Pradesh
Vizianagaram,Andhra Pradesh
Warangal,Telangana
Wardha,Maharashtra
Washim,Maharashtra
Wayanad,Kerala
West,Delhi
West Garo Hills,Meghalaya
West Godavari,Andhra Pradesh
West Jaintia Hills,Meghalaya
West Khasi Hills,Meghalaya
West Singhbhum at Chaibasa,Jharkhand
West Tripura,Tripura
YADGIR.,Karnataka
Yamunanagar,Haryana
Yavatmal,Maharashtra
kachchh at Bhuj,Gujarat
kalimpong,West Bengal
