act,act_s,count
17169.0,The Chattisgarh Tonahi Pratandna Nivaran Act  2005,2.0
17176.0,The Chhattisgarh Protection of Depositors Interest Act.2005,4.0
17180.0,"The Chhattisgarh Tonahi Pratadna Nivaran Act, 2005",16.0
17232.0,The Disaster Management Act-2005,2.0
17286.0,"The Goa Reconstruction of Registers and Records Act, 2005",1.0
17290.0,"The Goa Value Added Tax Act, 2005",1.0
17339.0,The Indecent Representative Of Women (Prohabitation),2.0
17369.0,The Jharkhand Bovine Animal Prohibition of Slaughter Act 2005,2.0
17467.0,The Muslim Women (Protection of Right on Marriage Act 2019),1.0
17468.0,The Muslim Women (Protection of Rights on Divorce) Act 1986,164.0
17469.0,"The Muslim Women (Protection of Rights on Marriage) Act, 2019",109.0
17475.0,The National Security Act 2005,1.0
17519.0,The Private Security Agencies (Regulation Act) 2005,1.0
17520.0,The Private Security Agency (Regulation) Act 2005,2.0
17521.0,The Private Security Agency Regulation Act 2005,1.0
17687.0,The State Emblem of India Act (Prohibition Improper Use) Act 2005,1.0
17764.0,The commissions for protection of child rights Act 2005,4.0
17795.0,Tonahi Pratadana Act 2005,80.0
17796.0,Tonahi Pratarana Adhiniyam 2005,1.0
17798.0,"Tonhi Atyachar (Niwaran) Act, 2005",2.0
19653.0,U/S 12 OF PROTECTION OF WOMEN FROM D.V. ACT,1.0
19654.0,U/S 12 OF PROTECTION OF WOMEN OF D.V.ACT,54.0
19657.0,U/S 12 OF WOMEN FROM THE D. V ACT,39.0
19659.0,U/S 12 R/W 20 D.V. ACT 2005,10.0
19667.0,U/S 12 of protection of women from DVA Act2005,4.0
20102.0,U/S 20 Private Security Regulation Act 2005,3.0
20105.0,U/S 200 CRPC RW SEC 31 OF THE PWDV ACT 2005,3.0
20109.0,U/S 2005 43  9  B  AND 37 2   D,6.0
20393.0,U/S 29 OF P W D V ACT OF 2005,1.0
20396.0,U/S 29 OF PWDV ACT 2005,20.0
20468.0,U/S 31 OF PWDV ACT 2005,5.0
21095.0,U/S OF THE SEXUAL HARRASSMENT OF WOMEN AT WORKPLACE PREVENTION PROHIBITION AND REDRESSAL ACT 2013,1.0
21103.0,U/S SEC 9B AND 37 2 C DV ACT 2005,6.0
21172.0,U/S. 31 OF PROTECTION OF WOMEN FROM D.V.ACT,4.0
21268.0,U/SEC 12 OF P.W.D.V.ACT 2005,3.0
21443.0,U/Sec 18 of the domastic voilence Act. 2005,1.0
21449.0,U/Sec 20 R/W 23/2  of Protection of women from Domastic Voilence Act.,1.0
21599.0,"U/Sec. 12 15, 16,17,18,20,22,and 23 of PWDV act 2005",12.0
21683.0,U/Sec. 20 of the P.W.D.V.Act 2005,1.0
22790.0,U/s  Dv Act 2005/06 R/w 31/1,5.0
22837.0,U/s 12 18 23 of D V Act 2005,1.0
22838.0,U/s 12 D V Act 2005/06,4.0
22839.0,"U/s 12 Dv Act 2005/06 R/w 18,  19, 20",1.0
22855.0,U/s 12/1 of D V Act 2005/06,6.0
23112.0,U/s 20 R/w 23 D V Act 2005/06,1.0
23151.0,U/s 23 of the DVC Act 2005,3.0
23287.0,U/s 31 of DV ACT -2005,8.0
23609.0,"U/s U/s 12 Of Dv Act 2005/06 R/w 18, 19, 20,21,22",2.0
23989.0,U/s.31 of P.W.D.V. ACT 2005,3.0
24051.0,U/sec 12 D V Act 2005/2006 R/w  18 19 20,5.0
24621.0,UNDER SEC 12 OF DVC ACT 2005,39.0
24697.0,UNDER SECTION 12 OF D.V.ACT 2005,7.0
24780.0,UNDER SECTION 23 OF 2 OF THE PROTECTION OF WOMEN FROM DV ACT,1.0
24844.0,UNDER SECTION 31 OF THE PROTECTION OF WOMEN FROM THE DV ACT. 2005,6.0
25753.0,Under Sec 12 18 20 22 and 23  of Protection Women from DV Act 2005,13.0
25816.0,Under Sec 18 and 20 of Protection of Women from DV Act 2005,4.0
25828.0,Under Sec 23 Cl 2 of Protection of Women from DV Act 2005,1.0
25846.0,Under Sec 28 of Protection of Women from DV Act 2005,1.0
25849.0,Under Sec 29 of Protection of Women from DV Act,10.0
25850.0,Under Sec 29 of Protection of Womens from DV Act 2005,11.0
25921.0,Under Sec(20) Private Security Regulation Act 2005,5.0
25970.0,Under Sec. 22 of DV Act 2005,1.0
25972.0,Under Sec. 23 of Protection of Women from D.V.Act.,9.0
26158.0,Under Section 12 of Protection of Women from DV Act,1.0
27107.0,Under section 2005 D V Act,3.0
27153.0,Under section 43 of 9 clause B and 37 clause 2 clause C of 2005,43.0
27183.0,Under section D.V.Act 2005,44.0
27522.0,"WEAPONS OF MASS DESTRUCTION AND THEIR DELIVERY SYSTEMS (PROHIBITION OF UNLAWFUL ACTIVITIES) ACT, 2005",1.0
27739.0,West Bengal Women Protection and Divorce Act,2.0
27810.0,Women Harassment Act,1.0
27811.0,Women Harrasement Act,9.0
27812.0,Women Harrassment Act,3.0
27813.0,Women Prohibition Act 1986,1.0
27814.0,Women Prohibition Act 2005,3.0
27815.0,Women Protection Act,1.0
27819.0,Women&#039;s and Children&#039;s Institutions (Licensing) Act,2.0
27821.0,Women's and Children's Institutions (Licensing) Act,2259.0
27822.0,Women's and Children's Institutions (Licensing) Act 1956,2.0
27823.0,Womens and Childrens Institutions (Licensing) Act,78.0
27825.0,WomensandChildrensInstitutions(Licensing)Act,198.0
27939.0,assault or use of criminal force to women with inten to outrage her modesty,27.0
27964.0,chhattisgarh protection of interest of depositors act 2005,1.0
27966.0,chhattisgarh tonhi pratadhna nivaren act-2005,1.0
28309.0,private security agency regulation act 2005,3.0
28310.0,private security regulation act 2005,1.0
28314.0,prohibition of cow  slaughter act 2005,7.0
28320.0,protection of women,2.0
28321.0,protection of women form,2.0
28323.0,protection of women from domistic voilence Act,99.0
29082.0,"u/sec. 12,18,19,20,22 of 2005 of Womens and Protection Act and Rules 2006.",1.0
29345.0,"u/sec.12,18,19,20,22 of 2005 Rules 2006",1.0
29346.0,"u/sec.12,18,19,20,22 of 2005 Women and Protection Act, and Rules 2006",1.0
29846.0,women Harrasment Act 2002,1.0
